,action,correct_resp,is_type,resp_time,response,time_of_resp,trial_type,trigger_name,cpu_trigger_time,task,trigger,trigger_time,trigger_index
92,,,,,,,,,,Bio_Motion,1,1384.5236,2769047
93,,,,,,,,,,Bio_Motion,4,1387.5388,2775077
94,,,,,,,,,,Bio_Motion,1,1389.6378,2779275
95,,,,,,,,,,Bio_Motion,4,1396.2473,2792494
96,,,,,,,,,,Bio_Motion,1,1398.1945,2796389
97,,,,,,,,,,Bio_Motion,4,1400.6795,2801359
98,,,,,,,,,,Bio_Motion,1,1402.9565,2805913
99,,,,,,,,,,Bio_Motion,4,1405.191,2810382
100,,,,,,,,,,Bio_Motion,1,1407.5005,2815001
101,,,,,,,,,,Bio_Motion,4,1410.6985,2821397
102,,,,,,,,,,Bio_Motion,1,1413.0410000000002,2826082
103,,,,,,,,,,Bio_Motion,4,1417.1565,2834313
104,,,,,,,,,,Bio_Motion,1,1419.4470000000001,2838894
105,,,,,,,,,,Bio_Motion,4,1424.661,2849322
106,,,,,,,,,,Bio_Motion,1,1426.9165,2853833
107,,,,,,,,,,Bio_Motion,4,1432.876,2865752
108,,,,,,,,,,Bio_Motion,1,1435.1685,2870337
109,,,,,,,,,,Bio_Motion,4,1438.1155,2876231
110,,,,,,,,,,Bio_Motion,1,1440.44,2880880
111,,,,,,,,,,Bio_Motion,4,1446.604,2893208
112,,,,,,,,,,Bio_Motion,1,1448.8970000000002,2897794
113,,,,,,,,,,Bio_Motion,4,1451.7135,2903427
114,,,,,,,,,,Bio_Motion,1,1454.0065,2908013
115,,,,,,,,,,Bio_Motion,4,1459.037,2918074
116,,,,,,,,,,Bio_Motion,1,1461.3285,2922657
117,,,,,,,,,,Bio_Motion,4,1467.9865,2935973
118,,,,,,,,,,Bio_Motion,1,1470.2955,2940591
119,,,,,,,,,,Bio_Motion,4,1477.7875,2955575
120,,,,,,,,,,Bio_Motion,1,1480.0635,2960127
121,,,,,,,,,,Bio_Motion,4,1485.4589999999998,2970917
122,,,,,,,,,,Bio_Motion,1,1488.0317,2976063
123,,,,,,,,,,Bio_Motion,16,1497.774,2995548
